ratio_target,ratio_multiplier,identity_weight,model,combinaison,AUC,Accuracy,F1,Training_Size
1.0,0.1,0.5,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.6041666666666667,0.6578947368421053,0.752487776819097,116
1.0,0.1,1.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5972222222222222,0.6973684210526315,0.780849902534113,116
1.0,0.1,2.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.6006944444444445,0.6973684210526315,0.780849902534113,116
1.0,0.3,0.5,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5972222222222223,0.6710526315789473,0.7620733920587847,116
1.0,0.3,1.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.607638888888889,0.6973684210526315,0.780849902534113,116
1.0,0.3,2.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.607638888888889,0.6973684210526315,0.780849902534113,116
1.5,0.1,0.5,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5277777777777778,0.7631578947368421,0.8234449760765549,147
1.5,0.1,1.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5069444444444444,0.75,0.8149763722282806,147
1.5,0.1,2.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5034722222222222,0.75,0.8149763722282806,147
1.5,0.3,0.5,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.4930555555555556,0.7236842105263158,0.7977223138736629,147
1.5,0.3,1.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5034722222222222,0.7631578947368421,0.8234449760765549,147
1.5,0.3,2.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5104166666666667,0.75,0.8149763722282806,147
2.0,0.1,0.5,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5798611111111112,0.75,0.8149763722282806,172
2.0,0.1,1.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5659722222222222,0.7763157894736842,0.8318163830629204,172
2.0,0.1,2.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.548611111111111,0.7763157894736842,0.8318163830629204,172
2.0,0.3,0.5,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5520833333333334,0.75,0.8149763722282806,172
2.0,0.3,1.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5555555555555556,0.7631578947368421,0.8234449760765549,172
2.0,0.3,2.0,LogisticRegression_3ac8d09075bb,w2v + tfidf,0.5416666666666666,0.7763157894736842,0.8318163830629204,172
